username,date,content
Nguyễn Phú Triệu,17/3/2025 22:00,Bảo hành hỏng hóc đang có phí quá cao
Dr Huân,25/2/2025 22:00,👌👌👌
Nguyễn thế long,14/2/2025 09:07,"nhân viên nhiệt tình , sp oke"
Lã Văn Minh,11/2/2025 20:34,OK hài lòng nhân viên tư vấn nhiệt tình
Nguyễn Tuấn Anh,3/2/2025 22:42,đơn hàng: wb*****969 huỷ giúp mh
Văn Dũng,27/1/2025 22:00,Hiện tại thì chưa
Văn Dũng,27/1/2025 22:00,Hiện tại thì chưa
Likizchi,18/1/2025 22:00,thêm khuyến mãi cho sản phẩm iphone
Likizchi,18/1/2025 22:00,thêm khuyến mãi cho sản phẩm iphone
Khanh Cao,12/1/2025 22:00,"Sản phẩm dùng ổn. Nhưng có 1 vấn đề e chưa hài lòng đó là về nhân viên bán hàng, thái độ có vẻ không tôn trọng khách hàng và xem thường. Kính mong CellphoneS xem xét và chỉnh đốn lại nhân viên ạ, mình cảm ơn rất nhiều!"
Khanh Cao,12/1/2025 22:00,"Sản phẩm dùng ổn. Nhưng có 1 vấn đề e chưa hài lòng đó là về nhân viên bán hàng, thái độ có vẻ không tôn trọng khách hàng và xem thường. Kính mong CellphoneS xem xét và chỉnh đốn lại nhân viên ạ, mình cảm ơn rất nhiều!"
Hoang Duyen,4/1/2025 22:00,Nâng cao chất lượng phục vụ
Hoang Duyen,4/1/2025 22:00,Nâng cao chất lượng phục vụ
Ngô Chí Dũng,30/12/2024 22:00,Không
Ngô Chí Dũng,30/12/2024 22:00,Không
Văn Dương,28/12/2024 22:00,Ok
Văn Dương,28/12/2024 22:00,Ok
Văn Dương,28/12/2024 22:00,Ok
hieu nguyen,24/12/2024 09:26,"rat tuyet voi, cam on ban sale Tran hiep vi tu ban nhiet tinh"
Lê Hải Đăng Khoa,18/12/2024 17:04,"Rất tốt ạ, nhân giao hàng thân thiện, phục vụ khách hàng tận tâm, có 10 sao cũng được nhưng không có"
Lê Hải Đăng Khoa,18/12/2024 15:22,Rất tốt và chuyên nghiệp ạ
Lê Hải Đăng Khoa,18/12/2024 14:49,Rất tốt và đẹp mình tin tưởng CellphoneS ạ.
Hoàng Hùng,12/12/2024 22:00,K có góp ý gì thêm . Ưng bụng lắm rồi🥰🥰
Hoàng Hùng,12/12/2024 22:00,K có góp ý gì thêm . Ưng bụng lắm rồi🥰🥰
Hoàng Hùng,12/12/2024 22:00,K có góp ý gì thêm . Ưng bụng lắm rồi🥰🥰
Thanh Phong,12/12/2024 20:41,"nhân viên dễ thương chu đáo , sản phâm ổn"
Nguyễn Đình Hòa,8/12/2024 22:00,Chăm sóc khách hàng tốt
Nguyễn Đình Hòa,8/12/2024 22:00,Chăm sóc khách hàng tốt
Nguyễn Đình Hòa,8/12/2024 22:00,Chăm sóc khách hàng tốt
Văn Thanh Hà,2/12/2024 22:00,Rất hài lòng về phòng cách phục vụ và chế độ bảo hành rất tốt của cellphones
Văn Thanh Hà,2/12/2024 22:00,Rất hài lòng về phòng cách phục vụ và chế độ bảo hành rất tốt của cellphones
Văn Thanh Hà,2/12/2024 22:00,Rất hài lòng về phòng cách phục vụ và chế độ bảo hành rất tốt của cellphones
Nguyễn Trọng Quý,22/11/2024 22:00,Tuyệt vời
Nguyễn Trọng Quý,22/11/2024 22:00,Tuyệt vời
Đạt,18/11/2024 09:39,"dùng ổn áp, nhân viên rất nhiệt tình"
Vũ Mạnh Hùng,15/11/2024 18:08,ip 13prm 128Gh bù bao nhiu tiền nữa shop
Dương Trường Minh,13/11/2024 13:32,"Máy đẹp , chụp ảnh rất tuyệt!"
Nhan Thái Cường,12/11/2024 22:00,Rất hài lòng
Nhan Thái Cường,12/11/2024 22:00,Rất hài lòng
Leo,3/11/2024 22:00,Mở
Tran Kim Sang,23/10/2024 11:26,lúc này celphone bán giá cao bằng tgdd lun . mua hết nỗi
Kiếm Tiền,21/10/2024 22:00,Thấy máy dùng hay nóng
Kiếm Tiền,21/10/2024 22:00,Thấy máy dùng hay nóng
Quốc Anh Dương,21/10/2024 22:00,Chính sách giá bán chưa cạnh tranh và cải thiện chất lượng nhân viên
Quốc Anh Dương,21/10/2024 22:00,Chính sách giá bán chưa cạnh tranh và cải thiện chất lượng nhân viên
Thanh Huyền,21/10/2024 22:00,Moi thử điều ok chỉ có âm thanh khi nghe gọi rất nhỏ và không trong
Thanh Huyền,21/10/2024 22:00,Moi thử điều ok chỉ có âm thanh khi nghe gọi rất nhỏ và không trong
Kiếm Tiền,21/10/2024 22:00,Thấy máy dùng hay nóng
Quốc Anh Dương,21/10/2024 22:00,Chính sách giá bán chưa cạnh tranh và cải thiện chất lượng nhân viên
Thanh Huyền,21/10/2024 22:00,Moi thử điều ok chỉ có âm thanh khi nghe gọi rất nhỏ và không trong
