username,date,content
xecatang,một năm,"iPhone bây giờ không còn gì để nói. Vẫn tiêu chuẩn của mọi so sánh, chất liệu tốt của văn công nghệ 😁"
pocket,một năm,@mrford105 Vị trí nút đó không phù hợp làm nút camera vì ngón tay sẽ che cam. Cũng không giống nút chụp trên máy ảnh có 2 nấc. Bản nhất nó không sinh ra để làm nút chụp ảnh.
Ditt,một năm,"@xecatang iPhone là tiêu chuẩn để so sánh các đt khác. 1TB chắc 50 củ mất
https://shopee.vn/Điện-thoại-iPhone-15-Pro-Max-512GB-Hàng-Chính-Hãng-i.487028617.24109867358"
Cyclops,một năm,@pocket Thời xưa còn xài android có con sony cũng có nút chụp hình đó bro
uochuý1489Quốc Huy,một năm,@xecatang Nghe đâu apple có dự án iphone chạy Android
tuha1288,một năm,"oh, cổng type c tiện lợi kìa
tưởng là bop chêt sự sáng tạo chứ nhỉ"
Barbatos,một năm,"@tuha1288 Đó là sự sáng tạo, tiến bộ chứ đâu như ai kia thấy ai bỏ jack 3.5, củ sạc cũng làm theo rồi lặng lẽ gỡ clip cà khịa trc đấy😃"
tuha1288,một năm,"@Barbatos liên quan gì đến ""ai kia"" mà mang vào đây? có vấn đề về đọc hiểu à?"
nguyenhieu100289,một năm,"@cuhiep Sáng tạo có thể mang đến những thứ hữu dụng nhưng ko đủ đơn giản để sử dụng nhưng ngưòi ta vẫn chấp nhận, còn cái cổng sạc thì có cái j đâu mà bày đặt sự sáng tạo ở đây trong khi chính ông dùng cho ipad và macbook từ lâu rồi. Type c là tất yếu, cần biết ơn EU khi nó ra tối hậu thư để thằng táo phải làm sớm."
khavy.love97,một năm,@tuha1288 Loại người đầu trọc này thật kỳ lạ =))
Didu,một năm,"bài review hay, quan điểm hay. iphone và android ngày càng giống nhau nên ko còn thấy nhớ iphone nữa rồi."
Double D,một năm,"@Heisenb3rg Khoản chặn tin nhắn rác và k thông báo số rác thằng px làm tốt thật , 3xl chạy android 12 nó chặn tốt phết rồi, giờ k biết sao"
Heisenb3rg,một năm,"@Double D giờ vẫn ngon, 10 số rác thì nó auto chặn 7-8 số, thi thoảng mình phải block thủ công vài số"
Double D,một năm,@Heisenb3rg Thế là xịn rồi.
binhtran89,một năm,@Heisenb3rg Tại nó lấy số mới chưa bị vô sách đen thôi. Vài người báo cáo là lại vô list ngay
hoangthach201,một năm,"Trải nghiệm tệ nhất trên iphone với mình là bàn phím tiếng Việt: tắt tự động sửa nhưng vẫn tự sửa (mà sửa thì ngu vãi - nhất là khi bạn gõ song song tiếng Anh và tiếng Việt, muốn sửa từ nào đó phải xoá hết cả từ, khi xoá thay vì xoá chữ cái có dấu thì nó xoá theo kiểu xoá dấu rồi đến chữ cái…
Tiếp đến là lag bàn phím nặng khi gõ ở một số app như Business, Ghi chú…
Không hiểu sao lỗi đó tồn tại dai dẳng mãi mà Apple không fix, hay họ không biết đến lỗi này?"
Double D,một năm,"@tho2993 Ios 13 đổ về thì ngon, chứ từ 14 nhất là mấy ông bật gợi ý với cả tự động sửa là kêu trời rồi, ios 15-16 nó chán lắm ấy. Trước đây từ 6+ về SE chỉ cần 2 hôm là gõ ngon, nhưng giờ dùng promax mà gõ vẫn bị sai chỉ vì phản hồi ngớ ngẩn của bàn phím ios. Trước đây tốc độ phản hồi ngon, gõ rất tự tin nhưng giờ thì kêu 3 bản ios vẫn k được fix. Chắc k ai report vì report bằng tiếng anh."
MinhHy Nguyen,một năm,"@hoangthach201 AI đâu mà phải công nông vậy?!
Android 2-3 lần tự nhớ và làm đúng theo thói quen của user
Như mỗi lần để chế độ máy bay là tắt hết, và tui bật wifi và Bluetooth, lần sau cứ thể nó set, không phải mắc công chuyển bật nữa"
Eldimio,một năm,"@hoangthach201 Ngoài trải nghiệm gõ phím rất tệ, tự động sửa ra thì select text, đặt con trỏ cũng cực kỳ khó chịu."
